latitude,longitude,datetime,temp,feelslikemax,feelslikemin,dew,humidity,precip,precipprob,precipcover,windspeed,windspeedmean,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
13.082,80.275,2016-01-01,26.6,31.9,23,20,68,0,0,0,22.3,8.2,29.9,1016.9,55.2,6,195,17,8
13.082,80.275,2016-01-02,25.9,33.7,22,20.3,72.4,0,0,0,22.3,6.1,18.9,1016.8,35.7,5.2,215,18.7,8
13.082,80.275,2016-01-03,26,34.9,21,20.8,74.5,0,0,0,13,5.2,54.3,1015.6,23.5,5.5,235.5,20.3,8
13.082,80.275,2016-01-04,26.2,34.2,22,20.3,71.6,0,0,0,18.4,5.6,45.5,1015.5,28.7,5.8,239.4,20.5,8
13.082,80.275,2016-01-05,26,33,22,19.9,70.8,0,0,0,18.4,5.5,42.6,1014.8,38.8,5.8,217.4,18.7,7
13.082,80.275,2016-01-06,26.3,32.4,22,19.5,67.7,0,0,0,22.3,8.3,40.1,1014.9,34.2,5.7,199.6,17.1,7
13.082,80.275,2016-01-07,26.1,31.9,22,19.3,67.2,0,0,0,22.3,6.5,51.8,1015.5,36.1,6.1,218.6,19,8
13.082,80.275,2016-01-08,26,32.4,23,19.3,67.8,0,0,0,18.4,6.6,21.6,1015.6,37.6,5.8,214.6,18.5,7
13.082,80.275,2016-01-09,25.3,30.8,21.8,19.1,70,0,0,0,14.8,5.3,58.2,1013.7,32.7,5.7,224.1,19.4,8
13.082,80.275,2016-01-10,25,30.4,20,18.1,67.6,0,0,0,13,4,67.2,1014.8,27.1,6.1,232.3,20.1,8
13.082,80.275,2016-01-11,25.1,32.4,21,18.5,68.4,0,0,0,14.8,5,63.3,1015.1,28.5,6.2,231.5,19.9,8
13.082,80.275,2016-01-12,25,30.8,21,18.3,68.2,0,0,0,14.8,4.8,56.4,1013.5,25.3,5.4,234.4,20.2,8
13.082,80.275,2016-01-13,25.1,31.9,20,18.6,69.3,0,0,0,18.4,5.8,74.3,1012.8,30.5,5.2,222.5,19.2,7
13.082,80.275,2016-01-14,25.2,31.9,21,18.2,66.9,0,0,0,18.4,7.7,54.3,1013,25.2,4.6,235.9,20.2,8
13.082,80.275,2016-01-15,25.5,32.4,20,18.1,64.8,0,0,0,16.6,5.5,65.7,1012.4,32.5,6,199,17.1,7
13.082,80.275,2016-01-16,24.9,31.9,20,17.8,66.8,0,0,0,14.8,4.8,54.3,1011.8,21.7,5.9,234.5,20.1,8
13.082,80.275,2016-01-17,24.8,31.3,21,18.6,70.1,0,0,0,11.2,4.1,58.4,1011.7,31.7,5.9,227.3,19.5,8
