latitude,longitude,temp,feelslikemax,feelslikemin,dew,humidity,precip,precipprob,precipcover,windspeed,windspeedmean,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,Risk_Level,Risk_Category,month,Cluster
13.082,80.275,26.2,33.4,23.1,22.8,82.8,0.1,100,4.17,14.8,7.1,49.5,1011.2,41.8,5.1,210.0,18.3,8.0,0,Low,1,1
13.082,80.275,25.2,32.1,22.1,21.8,82.8,0.0,0,0.0,16.6,5.7,56.7,1012.0,41.8,3.6,210.3,18.1,8.0,0,Low,1,1
13.082,80.275,25.7,34.7,22.1,22.3,82.7,0.0,0,0.0,13.0,5.5,67.9,1012.3,35.9,3.7,223.8,19.4,8.0,1,Medium,1,1
13.082,80.275,25.8,32.6,23.1,21.9,80.3,0.0,0,0.0,14.8,5.8,58.8,1011.7,34.3,4.7,216.1,18.5,8.0,0,Low,1,1
13.082,80.275,25.6,33.4,22.1,22.5,84.0,0.0,0,0.0,16.6,5.7,78.9,1010.2,41.9,4.3,212.0,18.4,8.0,0,Low,1,1
13.082,80.275,26.0,32.6,23.1,22.0,80.4,0.0,0,0.0,20.5,7.3,65.8,1010.5,36.7,4.3,215.0,18.7,7.0,0,Low,1,1
13.082,80.275,25.8,30.9,22.1,20.7,75.4,0.0,0,0.0,18.4,8.0,49.5,1011.5,39.8,5.2,229.3,19.6,8.0,0,Low,1,1
13.082,80.275,25.8,32.1,23.1,21.6,78.4,0.0,0,0.0,18.4,6.9,24.3,1011.8,42.9,4.3,215.1,18.4,8.0,0,Low,1,1
13.082,80.275,26.1,32.0,23.1,21.4,77.1,0.0,0,0.0,18.4,5.5,34.2,1012.6,34.2,4.5,226.0,19.5,8.0,0,Low,1,1
13.082,80.275,25.4,30.9,21.1,20.5,76.9,0.0,0,0.0,18.4,4.4,46.3,1012.3,36.1,4.6,230.2,19.9,8.0,0,Low,1,1
13.082,80.275,25.2,34.3,21.1,21.3,80.3,0.0,0,0.0,22.3,6.4,59.4,1013.0,18.7,4.4,232.6,20.1,8.0,1,Medium,1,1
13.082,80.275,25.0,30.4,22.1,20.0,75.5,0.0,0,0.0,24.1,6.5,58.2,1014.0,33.4,4.4,242.2,20.8,9.0,0,Low,1,1
13.082,80.275,24.5,30.5,20.1,19.7,76.9,0.0,0,0.0,18.4,4.9,47.1,1013.3,9.2,3.4,245.3,21.1,9.0,0,Low,1,1
13.082,80.275,23.9,30.9,20.1,19.9,79.8,0.0,0,0.0,9.4,2.1,44.3,1012.7,32.0,3.7,229.1,19.9,9.0,0,Low,1,1
